NAME,ADDRESS,PHONE,WEBSITE,URL
Rivers State Government,"Rivers State Government House, Forces Avenue,, Port Harcourt, Rivers State",+234 903 441 1161,http://www.riversstate.gov.ng/,https://www.finelib.com/listing/Rivers-State-Government/263/
University of Port Harcourt,"East / West Road, Choba, Rivers, Nigeria",+234 848 17941,https://www.uniport.edu.ng/,https://www.finelib.com/listing/University-of-Port-Harcourt/10519/
Spa Klouds,"33 Total Gospel road, Jacaranda Hotel Peter Odili, Port Harcourt, Rivers State",0810 689 6651,https://spaklouds.com,https://www.finelib.com/listing/Spa-Klouds/123003/
Psi Sigma Consult Limited,"32 Danjuma Drive, Trans Amadi Industrial Layout, Port Harcourt, Rivers","0803 310 4367, 08088984639",N/A,https://www.finelib.com/listing/Psi-Sigma-Consult-Limited/111503/
Hotel Presidential,"GRA Phase 2, Aba Road, Port Harcourt, Rivers State Nigeria","0805 555 9500, 0708 881 9060, 0818 636 0003",https://presidential-hotel.com/,https://www.finelib.com/listing/Hotel-Presidential/869/
Saint Tracy,"106 Aba Road (the yellow gate) opposite First Bank by Garrison bus-stop, Port Harcourt, Rivers State Nigeria",0809 613 4992,https://www.sainttracy.com/,https://www.finelib.com/listing/Saint-Tracy/6027/
Shell Petroleum Development Company of Nigeria Limited,"Shell Industrial Area Rumuobiakani, Port Harcourt, Rivers State, Nigeria",084 429 999,https://www.shell.com.ng/,https://www.finelib.com/listing/Shell-Petroleum-Development-Company-of-Nigeria-Limited/7536/
Kiddies Wear House,"Trans Amadi-Umurola Road, Port Harcourt, Rivers State","0706 737 4605, 0803 834 8818",https://shopkiddieswearhouse.com/,https://www.finelib.com/listing/Kiddies-Wear-House/7833/
DHL International Nigeria Limited,"82 Trans Amadi Layout Ellah Estate, Port Harcourt, Rivers State","0803 605 7700, 0807 058 4817",http://www.dhl.com.ng/,https://www.finelib.com/listing/DHL-International-Nigeria-Limited/7949/
Bookville World,"2, Ezimgbu Link Road, Off Stadium Road, Port Harcourt, Rivers State, Nigeria","0818 183 8485, 0816 523 5460, 0812 052 5554",https://bookvilleworld.com/,https://www.finelib.com/listing/Bookville-World/39304/
Accessfab Limited,"Plot 43B East-West Road Behind Clendac Filling Station, Port Harcourt, Rivers State Nigeria","0812 803 2012, 0807 295 1181",https://www.accessfabltd.com,https://www.finelib.com/listing/Accessfab-Limited/56086/
Bodybuilding Sport In Nigeria,"11 Yenagoa Street Off Aba Road, Port Harcourt, Rivers Nigeria","+234 802 970 7735, +234 807 629 7680",https://bodybuilding.sitesng.com/,https://www.finelib.com/listing/Bodybuilding-Sport-In-Nigeria/56271/
Isogenic Consulting Ltd,"No 15 Jesus Avenue, Off Aker Road, Rumuolumeni, Port Harcourt, Rivers State, Nigeria","0811 545 6021, 0706 4019 092",https://isogenic.sitesng.com/,https://www.finelib.com/listing/Isogenic-Consulting-Ltd/68567/
